Title,Description,Language,Publisher,Creator,Provider,Resource Class,Resource Type,Theme,Temporal Coverage,Date Issued,Index Year,Spatial Coverage,Member Of,Is Part Of,Geometry,Bounding Box,Rights,Access Rights,Format,Information,Download,AltTitle,ID,Identifier,Modified,Metadata Version,Suppressed,Display Note
Cuba Census 2002 Collection,"This collection of  Geospatial Data from the East View Global Census Archive presents Cuba's 2002 census in GIS-friendly formats including File Geodatabase, Shapefiles, documentation, and metadata. It is restricted to use by UWM Students, Faculty, and Staff for scholarly and academic uses.|[Official population and housing data for Cuba from the 2002 census. This census is provided at the Municipality administrative level (ADM2) and includes 158 polygons with 427 attribute variables. Attribute descriptions retain Spanish language names and unique identifier codes. All variable names were translated from the Spanish language. Field name prefixes, originally written with coded titles, were renamed to create unique names across the geodatabase (e.g. Original variable of “F1_Male” was updated to D001 and given the alias “Sex: Male [F1_Male]”, the letter D was given as it relates to the Demographic theme table. D = Demographic, E = Economic, H = Housing, M = Migration, S = Social). All variables from the original data were reviewed for completeness and organized into their relevant themes of Demographic, Economic, Housing, Migration and Social. The geodatabase was built to hold these specific tables with all geographic names and codes represented as text fields and census data represented as doubles or long integers. Automated tools were run to apply aliases in the format “English translation field description[Spanish language field description]”. Vector data was analyzed for accuracy and compared with national boundaries.]",eng|esp,National Office Of Statistics and Information (Cuba)|Oficina Nacional De Estadistica E Información (Cuba),East View Information Services,American Geographical Society Library – UWM Libraries,Collections,Census data,Society,2002,2023-12-18,2002,Cuba,,,"ENVELOPE(-84.951389, -74.131389, 23.226039, 19.828611)","ENVELOPE(-84.951389, -74.131389, 23.226039, 19.828611)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Restricted,,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgsrr4xk5c,,Cuba_Census_2002_Collection,ark:-77981-gmgsrr4xk5c,ark:/77981/gmgsrr4xk5c,2024-12-06T19:30:31Z,Aardvark,FALSE,Warning: Restricted to UW-Milwaukee Academic Use only. UWM login required for download.
Cuba Census 2012 Collection,"This collection of  Geospatial Data from the East View Global Census Archive presents Cuba's 2012 census in GIS-friendly formats including File Geodatabase, Shapefiles, documentation, and metadata. It is restricted to use by UWM Students, Faculty, and Staff for scholarly and academic uses.|[Official population and housing data for Cuba from the 2012 census. This census is provided at the Municipality administrative level (ADM2) and includes 158 polygons with 464 attribute variables. Attribute descriptions retain Spanish language names and unique identifier codes. All variable names were translated from the Spanish language. Field name prefixes, originally written with coded titles, were renamed to create unique names across the geodatabase (e.g. Original variable of “F1_Male” was updated to D001 and given the alias “Sex: Male [F1_Male]”, the letter D was given as it relates to the Demographic theme table. D = Demographic, E = Economic, H = Housing, M = Migration, S = Social). All variables from the original data were reviewed for completeness and organized into their relevant themes of Demographic, Economic, Housing, Migration and Social. The geodatabase was built to hold these specific tables with all geographic names and codes represented as text fields and census data represented as doubles or long integers. Automated tools were run to apply aliases in the format “English translation field description[Spanish language field description]”. Vector data was analyzed for accuracy and compared with national boundaries.]",eng|esp,National Office Of Statistics and Information (Cuba)|Oficina Nacional De Estadistica E Información (Cuba),East View Information Services,American Geographical Society Library – UWM Libraries,Collections,Census data,Society,2012,2023-12-19,2012,Cuba,,,"ENVELOPE(-84.951389, -74.131389, 23.226039, 19.828611)","ENVELOPE(-84.951389, -74.131389, 23.226039, 19.828611)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Restricted,,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgsn02v8sj,,Cuba_Census_2012_Collection,ark:-77981-gmgsn02v8sj,ark:/77981/gmgsn02v8sj,2024-12-06T19:30:31Z,Aardvark,FALSE,Warning: Restricted to UW-Milwaukee Academic Use only. UWM login required for download.
Cuba Census 2002,"This File Geodatabase represents census topics (Demographic, Migration, Social, Economic, Housing) for Cuba in 2002. It includes spatial layers for provinces and municipalities. The dataset is part of the East View Global Census Archive published by East View Information Services. Download package includes descriptive metadata, guide with field descriptions, and example questionnaire.|[Official population and housing data for Cuba from the 2002 census. This census is provided at the Municipality administrative level (ADM2) and includes 158 polygons with 427 attribute variables. Attribute descriptions retain Spanish language names and unique identifier codes. All variable names were translated from the Spanish language. Field name prefixes, originally written with coded titles, were renamed to create unique names across the geodatabase (e.g. Original variable of “F1_Male” was updated to D001 and given the alias “Sex: Male [F1_Male]”, the letter D was given as it relates to the Demographic theme table. D = Demographic, E = Economic, H = Housing, M = Migration, S = Social). All variables from the original data were reviewed for completeness and organized into their relevant themes of Demographic, Economic, Housing, Migration and Social. The geodatabase was built to hold these specific tables with all geographic names and codes represented as text fields and census data represented as doubles or long integers. Automated tools were run to apply aliases in the format “English translation field description[Spanish language field description]”. Vector data was analyzed for accuracy and compared with national boundaries.]",eng|esp,National Office Of Statistics and Information (Cuba)|Oficina Nacional De Estadistica E Información (Cuba),East View Information Services,American Geographical Society Library – UWM Libraries,Datasets,Census data|Polygon data,Society,2002,2023-12-18,2002,Cuba,ark:-77981-gmgsrr4xk5c,,"ENVELOPE(-84.951389, -74.131389, 23.226039, 19.828611)","ENVELOPE(-84.951389, -74.131389, 23.226039, 19.828611)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Restricted,Geodatabase,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgsh70s0dv,https://geodata.uwm.edu/restricted-uwm/gmgsh70s0dv/Cuba_Census_2002.zip,Cuba_Census_2002,ark:-77981-gmgsh70s0dv,ark:/77981/gmgsh70s0dv,2024-12-06T19:30:31Z,Aardvark,FALSE,Warning: Restricted to UW-Milwaukee Academic Use only. UWM login required for download.
Cuba Census 2012,"This File Geodatabase represents census topics (Demographic, Migration, Social, Economic, Housing) for Cuba in 2012. It includes spatial layers for provinces and municipalities. The dataset is part of the East View Global Census Archive published by East View Information Services. Download package includes descriptive metadata, guide with field descriptions, and example questionnaire.|[Official population and housing data for Cuba from the 2012 census. This census is provided at the Municipality administrative level (ADM2) and includes 158 polygons with 464 attribute variables. Attribute descriptions retain Spanish language names and unique identifier codes. All variable names were translated from the Spanish language. Field name prefixes, originally written with coded titles, were renamed to create unique names across the geodatabase (e.g. Original variable of “F1_Male” was updated to D001 and given the alias “Sex: Male [F1_Male]”, the letter D was given as it relates to the Demographic theme table. D = Demographic, E = Economic, H = Housing, M = Migration, S = Social). All variables from the original data were reviewed for completeness and organized into their relevant themes of Demographic, Economic, Housing, Migration and Social. The geodatabase was built to hold these specific tables with all geographic names and codes represented as text fields and census data represented as doubles or long integers. Automated tools were run to apply aliases in the format “English translation field description[Spanish language field description]”. Vector data was analyzed for accuracy and compared with national boundaries.]",eng|esp,National Office Of Statistics and Information (Cuba)|Oficina Nacional De Estadistica E Información (Cuba),East View Information Services,American Geographical Society Library – UWM Libraries,Datasets,Census data|Polygon data,Society,2012,2023-12-19,2012,Cuba,ark:-77981-gmgsn02v8sj,,"ENVELOPE(-84.951389, -74.131389, 23.226039, 19.828611)","ENVELOPE(-84.951389, -74.131389, 23.226039, 19.828611)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Restricted,Geodatabase,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgscfxpq18,https://geodata.uwm.edu/restricted-uwm/gmgscfxpq18/Cuba_Census_2012.zip,Cuba_Census_2012,ark:-77981-gmgscfxpq18,ark:/77981/gmgscfxpq18,2024-12-06T19:30:31Z,Aardvark,FALSE,Warning: Restricted to UW-Milwaukee Academic Use only. UWM login required for download.
Demographic Census Data (Provincias) Cuba 2002,"This polygon data represents demographic census topics for Cuba in 2002 by province (provincias). The dataset is part of the East View Global Census Archive published by East View Information Services. Download package includes descriptive metadata, guide with field descriptions, and example questionnaire.",eng|esp,National Office Of Statistics and Information (Cuba)|Oficina Nacional De Estadistica E Información (Cuba),East View Information Services,American Geographical Society Library – UWM Libraries,Datasets,Census data|Polygon data,Society,2002,2023-12-18,2002,Cuba,ark:-77981-gmgsrr4xk5c,ark:-77981-gmgsh70s0dv,"ENVELOPE(-84.951389, -74.131389, 23.226039, 19.828611)","ENVELOPE(-84.951389, -74.131389, 23.226039, 19.828611)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Restricted,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgs7pvmdpm,https://geodata.uwm.edu/restricted-uwm/gmgs7pvmdpm/Cuba_DemographicCensusProvincias_2002.zip,Cuba_DemographicCensusProvincias_2002,ark:-77981-gmgs7pvmdpm,ark:/77981/gmgs7pvmdpm,2024-12-06T19:30:31Z,Aardvark,FALSE,Warning: Restricted to UW-Milwaukee Academic Use only. UWM login required for download.
Demographic Census Data (Municipios) Cuba 2002,"This polygon data represents demographic census topics for Cuba in 2002 by municipality (municipios). The dataset is part of the East View Global Census Archive published by East View Information Services. Download package includes descriptive metadata, guide with field descriptions, and example questionnaire.",eng|esp,National Office Of Statistics and Information (Cuba)|Oficina Nacional De Estadistica E Información (Cuba),East View Information Services,American Geographical Society Library – UWM Libraries,Datasets,Census data|Polygon data,Society,2002,2023-12-18,2002,Cuba,ark:-77981-gmgsrr4xk5c,ark:-77981-gmgsh70s0dv,"ENVELOPE(-84.951389, -74.131389, 23.226039, 19.828611)","ENVELOPE(-84.951389, -74.131389, 23.226039, 19.828611)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Restricted,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgs41ns26f,https://geodata.uwm.edu/restricted-uwm/gmgs41ns26f/Cuba_DemographicCensusMunicipios_2002.zip,Cuba_DemographicCensusMunicipios_2002,ark:-77981-gmgs41ns26f,ark:/77981/gmgs41ns26f,2024-12-06T19:30:31Z,Aardvark,FALSE,Warning: Restricted to UW-Milwaukee Academic Use only. UWM login required for download.
Economic Census Data (Provincias) Cuba 2002,"This polygon data represents economic census topics for Cuba in 2002 by province (provincias). The dataset is part of the East View Global Census Archive published by East View Information Services. Download package includes descriptive metadata, guide with field descriptions, and example questionnaire.",eng|esp,National Office Of Statistics and Information (Cuba)|Oficina Nacional De Estadistica E Información (Cuba),East View Information Services,American Geographical Society Library – UWM Libraries,Datasets,Census data|Polygon data,Society,2002,2023-12-18,2002,Cuba,ark:-77981-gmgsrr4xk5c,ark:-77981-gmgsh70s0dv,"ENVELOPE(-84.951389, -74.131389, 23.226039, 19.828611)","ENVELOPE(-84.951389, -74.131389, 23.226039, 19.828611)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Restricted,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgs08kprtr,https://geodata.uwm.edu/restricted-uwm/gmgs08kprtr/Cuba_EconomicCensusProvincias_2002.zip,Cuba_EconomicCensusProvincias_2002,ark:-77981-gmgs08kprtr,ark:/77981/gmgs08kprtr,2024-12-06T19:30:31Z,Aardvark,FALSE,Warning: Restricted to UW-Milwaukee Academic Use only. UWM login required for download.
Economic Census Data (Municipios) Cuba 2002,"This polygon data represents economic census topics for Cuba in 2002 municipality (municipios). The dataset is part of the East View Global Census Archive published by East View Information Services. Download package includes descriptive metadata, guide with field descriptions, and example questionnaire.",eng|esp,National Office Of Statistics and Information (Cuba)|Oficina Nacional De Estadistica E Información (Cuba),East View Information Services,American Geographical Society Library – UWM Libraries,Datasets,Census data|Polygon data,Society,2002,2023-12-18,2002,Cuba,ark:-77981-gmgsrr4xk5c,ark:-77981-gmgsh70s0dv,"ENVELOPE(-84.951389, -74.131389, 23.226039, 19.828611)","ENVELOPE(-84.951389, -74.131389, 23.226039, 19.828611)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Restricted,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgsvhhmk79,https://geodata.uwm.edu/restricted-uwm/gmgsvhhmk79/Cuba_EconomicCensusMunicipios_2002.zip,Cuba_EconomicCensusMunicipios_2002,ark:-77981-gmgsvhhmk79,ark:/77981/gmgsvhhmk79,2024-12-06T19:30:31Z,Aardvark,FALSE,Warning: Restricted to UW-Milwaukee Academic Use only. UWM login required for download.
Housing Census Data (Provincias) Cuba 2002,"This polygon data represents housing census topics for Cuba in 2002 by province (provincias). The dataset is part of the East View Global Census Archive published by East View Information Services. Download package includes descriptive metadata, guide with field descriptions, and example questionnaire.",eng|esp,National Office Of Statistics and Information (Cuba)|Oficina Nacional De Estadistica E Información (Cuba),East View Information Services,American Geographical Society Library – UWM Libraries,Datasets,Census data|Polygon data,Society,2002,2023-12-18,2002,Cuba,ark:-77981-gmgsrr4xk5c,ark:-77981-gmgsh70s0dv,"ENVELOPE(-84.951389, -74.131389, 23.226039, 19.828611)","ENVELOPE(-84.951389, -74.131389, 23.226039, 19.828611)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Restricted,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgsqrfj8v3,https://geodata.uwm.edu/restricted-uwm/gmgsqrfj8v3/Cuba_HousingCensusProvincias_2002.zip,Cuba_HousingCensusProvincias_2002,ark:-77981-gmgsqrfj8v3,ark:/77981/gmgsqrfj8v3,2024-12-06T19:30:31Z,Aardvark,FALSE,Warning: Restricted to UW-Milwaukee Academic Use only. UWM login required for download.
Housing Census Data (Municipios) Cuba 2002,"This polygon data represents housing census topics for Cuba in 2002 municipality (municipios). The dataset is part of the East View Global Census Archive published by East View Information Services. Download package includes descriptive metadata, guide with field descriptions, and example questionnaire.",eng|esp,National Office Of Statistics and Information (Cuba)|Oficina Nacional De Estadistica E Información (Cuba),East View Information Services,American Geographical Society Library – UWM Libraries,Datasets,Census data|Polygon data,Society,2002,2023-12-18,2002,Cuba,ark:-77981-gmgsrr4xk5c,ark:-77981-gmgsh70s0dv,"ENVELOPE(-84.951389, -74.131389, 23.226039, 19.828611)","ENVELOPE(-84.951389, -74.131389, 23.226039, 19.828611)","<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Restricted,Shapefile,https://geodiscovery.uwm.edu/catalog/ark:-77981-gmgsm0cg0gs,https://geodata.uwm.edu/restricted-uwm/gmgsm0cg0gs/Cuba_HousingCensusMunicipios_2002.zip,Cuba_HousingCensusMunicipios_2002,ark:-77981-gmgsm0cg0gs,ark:/77981/gmgsm0cg0gs,2024-12-06T19:30:31Z,Aardvark,FALSE,Warning: Restricted to UW-Milwaukee Academic Use only. UWM login required for download.
